------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
       9.80723124078,     36998657.8322673
       9.81711573345,     37886727.3077189
       9.82650600148,     38832211.3816741
       9.83542675611,     39868207.4037005
       9.84390147301,     41038469.1641497
       9.85195245406,     42400014.2466274
       9.85960088606,     44026384.4901304
       9.86686689646,      46011851.138472
       9.87376960634,      48476996.391589
       9.88032718072,     51576281.7716667
       9.88655687639,     55508436.3485938
       9.89247508728,     60530773.1953279
       9.89809738761,     66978883.7505727
       9.90343857294,       75293584.79543
       9.90851269899,     86057521.6185922
       9.91333311875,     100044481.991994
       9.91791251751,     118285259.486732
       9.92226294634,     142154817.200241
       9.92639585373,     173486517.524808
       9.93032211574,     214720243.412363
       9.93405206466,     269092248.748633
       9.93759551613,     340875406.366291
       9.94096179503,     435678997.786186
       9.94415975998,     560817099.865402
       9.94719782668,     725753740.025275
       9.95008399005,     942631084.799946
       9.95282584525,     1226883800.40948
       9.95543060769,     1597938254.28804
       9.95790513201,     2079989400.08515
       9.96025593011,     2702841139.73239
       9.96248918831,     3502787992.75754
        9.9646107836,     4523507509.63913
       9.96662629912,      5816924690.5534
       9.96854103887,      7444002475.4525
       9.97036004163,      9475406968.2361
       9.97208809425,     11991993221.1554
       9.97372974424,     15085057778.9796
       9.97528931173,     18856308190.5687
       9.97677090085,     23417507475.8099
       9.97817841051,     28889762896.0898
       9.97951554469,      35402442793.917
       9.98078582215,      43091721915.056
       9.98199258575,      52098773462.579
       9.98313901117,      62567643957.669
       9.98422811531,      74642863599.436
       9.98526276425,      88466859088.724
       9.98624568074,     104177246881.509
        9.9871794514,     121904091865.829
       9.98806653354,     141767219164.821
       9.98890926156,     163873665068.041
       9.98970985319,     188315347287.919
       9.99047041523,      215167025273.07
       9.99119294917,      244484608990.59
       9.99187935642,      276303860157.03
        9.9925314433,      310639514381.16
       9.99315092584,      347484836847.66
       9.99373943425,      386811608904.75
       9.99429851724,      428570528930.58
       9.99482964608,      472691998606.55
       9.99533421848,      519087255705.86
       9.99581356226,      567649806834.56
       9.99626893885,      618257108392.45
       9.99670154661,      670772441195.43
       9.99711252398,      725046923596.85
       9.99750295249,      780921609327.38
       9.99787385957,      838229619199.85
       9.99822622129,      896798260152.39
       9.99856096493,      956451090288.17
       9.99887897139,     1017009894416.48
       9.99918107752,      1078296540770.6
       9.99946807835,     1140134695681.53
       9.99974072913,     1202351379221.81
       9.99999974738,      1264778837568.6
       10.0000208413,        1270002625727
       10.0000425137,      1275390927164.7
        10.000066641,      1281414975123.9
        10.000092632,      1287934444115.9
       10.0001150737,      1293588817049.9
       10.0001427241,      1300587830293.8
       10.0001767922,      1309260525482.5
       10.0002187675,      1320021305333.3
       10.0002432783,      1326343477336.2
       10.0002704852,        1333394588502
        10.000300685,      1341262791956.4
       10.0003342066,      1350047860227.2
       10.0003714157,      1359862936848.8
       10.0004127178,      1370836601161.9
       10.0004585631,        1383115312302
       10.0005094514,      1396866315291.5
       10.0005659374,      1412281112520.6
       10.0006286369,      1429579630556.5
       10.0006982333,      1449015247047.1
       10.0007754853,      1470880886409.7
        10.000861235,      1495516451939.9
       10.0009564173,      1523317937720.6
       10.0010620695,      1554748665307.9
       10.0011793435,      1590353224092.8
       10.0013095176,      1630774874108.4
       10.0014540109,      1676777413014.3
       10.0016143985,      1729272838259.7
       10.0017924287,      1789356587366.2
       10.0019900422,      1858352762721.8
       10.0022093932,        1937872615695
       10.0024528728,      2029890785048.9
       10.0027231351,      2136845514265.2
       10.0030231263,      2261771548931.9
       10.0033561166,        2408477994980
       10.0037257358,      2581788647694.3
        10.004136013,      2787870020776.7
       10.0045914208,        3034683828211
       10.0050969235,      3332618069395.6
       10.0056580314,      3695377448213.7
       10.0062808612,      4141254958322.6
       10.0069722023,      4694970818550.6
       10.0077395909,      5390366976389.7
       10.0085913923,      6274409267140.2
       10.0095368917,      7413215893977.5
       10.0105863962,        8901270114450
       10.0117513461,       10875707703162
       10.0130444406,       13538806413564
       10.0144797754,       17193914253055
        10.016072997,       22303684331059
        10.017841473,       29585772859668
       10.0198044814,       40172073844644
       10.0219834207,       55876441268620
       10.0244020433,       79648047571230
       10.0270867145,      116340816188820
       10.0300666994,      174012376114620
       10.0333744827,      266079701744700
       10.0370461221,      414767827678100
       10.0411216419,      656244609589000
       10.0456454689,  1.0472097059077e+15
       10.0506669168,   1.670535104219e+15
        10.056240724,   2.632312571679e+15
         10.06242765,   4.033780814428e+15
       10.0692951379,    5.89523607159e+15
       10.0769180494,    8.02786365831e+15
       10.0853794812,     9.9263738457e+15
       10.0947716705,   1.086201925217e+16
       10.1051970006,    1.02984665634e+16
        10.116769117,     8.3630648188e+15
       10.1296141662,     5.8220182736e+15
       10.1438721708,     3.5138043242e+15
        10.159698556,      1.867458032e+15
       10.1772658435,      886146467100000
       10.1967655326,      378704279500000
       10.2184101876,      146177934500000
       10.2424357545,       50867092300000
       10.2691041339,       15876233000000
        10.298706035,        4413381100000
       10.3315641452,        1084077400000
       10.3680366475,         233363300000
       10.4085211251,          43670200000
       10.4534588952,           7055100000
         10.50333982,            983400000
       10.5587076465,            123500000
        10.620165934,             19000000
       10.6883846331,              7100000
       10.7641073891,              4800000
       10.8481596482,              3600000
       10.9414576559,              2600000
       11.0450184444,              1900000
       11.1599709196,              1300000
       11.2875681671,               800000
       11.4292011119,               500000
       11.5864136805,               300000
       11.7609196318,               200000
       11.9546212376,               100000
       12.1696300201,                    0
       12.4082897686,                    0
       12.6732020895,                    0
       12.9672547657,                    0
       13.2936532363,                    0
       13.6559555387,                    0
       14.0581110943,                    0
        14.504503761,                    0
       14.9999996211,                    0
       15.2317110533,                    0
       15.4750080571,                    0
       15.7304699111,                    0
       15.9987048577,                    0
       16.2803515518,                    0
       16.5760805805,                    0
       16.8865960607,                    0
       17.2126373148,                    0
       17.5549806317,                    0
       17.9144411144,                    0
       18.2918746213,                    0
       18.6881798035,                    0
       19.1043002448,                    0
       19.5412267082,                    0
       19.9999994948,                    0

------------------------------------------------------------
 p - Hole Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
