------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Charge Density (/cm3)
       10.0085913923,        6349598251240
       10.0095368917,        7506040385570
       10.0105863962,        9018298978570
       10.0117513461,       11026656550900
       10.0130444406,       13738375285700
       10.0144797754,       17464889304900
        10.016072997,       22682303547400
        10.017841473,       30131249350100
       10.0198044814,       40983951240800
       10.0219834207,       57127089085300
       10.0244020433,       81645184655400
       10.0270867145,      119651096712000
       10.0300666994,      179712087912000
       10.0333744827,      276275592398000
       10.0370461221,      433701355207000
       10.0411216419,      692668036921000
       10.0456454689,     1.1195312462e+15
       10.0506669168,     1.8178882065e+15
        10.056240724,    2.93776285313e+15
         10.06242765,    4.67032763931e+15
       10.0692951379,     7.2077931963e+15
       10.0769180494,    1.06523841332e+16
       10.0853794812,    1.48960968859e+16
       10.0947716705,    1.95567557436e+16
       10.1051970006,    2.40674557799e+16
        10.116769117,    2.79018872878e+16
       10.1296141662,    3.07769170273e+16
       10.1438721708,    3.26950578961e+16
        10.159698556,    3.38448201867e+16
       10.1772658435,    3.44687064934e+16
       10.1967655326,    3.47763673966e+16
       10.2184101876,    3.49142568853e+16
       10.2424357545,    3.49702433314e+16
       10.2691041339,    3.49907216368e+16
        10.298706035,    3.49974215726e+16
       10.3315641452,    3.49993667301e+16
       10.3680366475,     3.4999863704e+16
       10.4085211251,     3.4999974514e+16
       10.4534588952,    3.49999958999e+16
         10.50333982,    3.49999994436e+16
       10.5587076465,    3.49999999429e+16
        10.620165934,    3.50000000011e+16
       10.6883846331,    3.50000000056e+16
       10.7641073891,    3.50000000047e+16
       10.8481596482,    3.50000000036e+16
       10.9414576559,    3.50000000026e+16
       11.0450184444,    3.50000000019e+16
       11.1599709196,    3.50000000013e+16
       11.2875681671,    3.50000000008e+16
       11.4292011119,    3.50000000005e+16
       11.5864136805,    3.50000000003e+16
       11.7609196318,    3.50000000002e+16
       11.9546212376,    3.50000000001e+16
       12.1696300201,              3.5e+16
       12.4082897686,              3.5e+16
       12.6732020895,              3.5e+16
       12.9672547657,              3.5e+16
       13.2936532363,              3.5e+16
       13.6559555387,              3.5e+16
       14.0581110943,              3.5e+16
        14.504503761,              3.5e+16
       14.9999996211,              3.5e+16
       15.2317110533,              3.5e+16
       15.4750080571,              3.5e+16
       15.7304699111,              3.5e+16
       15.9987048577,              3.5e+16
       16.2803515518,              3.5e+16
       16.5760805805,              3.5e+16
       16.8865960607,              3.5e+16
       17.2126373148,              3.5e+16
       17.5549806317,              3.5e+16
       17.9144411144,              3.5e+16
       18.2918746213,              3.5e+16
