------------------------------------------------------------
 Net Charge Density
------------------------------------------------------------
Position (um), Charge Density (C/cm3)
       9.50723044171,   -6.64388533993e-11
       9.53211497433,   -1.96989044511e-10
       9.55575528031,   -5.55562347116e-10
         9.578213571,   -1.49322820213e-09
       9.59954894715,   -3.83223465165e-09
        9.6198175545,   -9.40865706928e-09
       9.63907273148,   -2.21387264695e-08
       9.65736514961,   -5.00157928162e-08
       9.67474294683,   -1.08680062467e-07
       9.69125185419,   -2.27518492679e-07
       9.70693531618,   -4.59641771587e-07
       9.72183460508,   -8.97521269601e-07
       9.73598892953,   -1.69649310065e-06
       9.74943553775,   -3.10865388758e-06
       9.76220981557,   -5.52974626002e-06
       9.77434537949,   -9.56127762286e-06
       9.78587416522,   -1.60890975116e-05
       9.79682651166,   -2.63776845732e-05
       9.80723124078,   -4.21761202669e-05
       9.81711573345,   -6.58267969734e-05
       9.82650600148,   -0.000100361072329
       9.83542675611,   -0.000149557448592
       9.84390147301,   -0.000217928341592
       9.85195245406,   -0.000310593447573
       9.85960088606,   -0.000432995461285
       9.86686689646,   -0.000590423810829
       9.87376960634,   -0.000787341131588
       9.88032718072,    -0.00102655929866
       9.88655687639,    -0.00130838196212
       9.89247508728,    -0.00162989935934
       9.89809738761,    -0.00198465552697
       9.90343857294,     -0.0023628727344
       9.90851269899,    -0.00275229844363
       9.91333311875,    -0.00313956317683
       9.91791251751,    -0.00351177084164
       9.92226294634,    -0.00385796299759
       9.92639585373,    -0.00417014507601
       9.93032211574,    -0.00444371240596
       9.93405206466,    -0.00467729582822
       9.93759551613,     -0.0048721857969
       9.94096179503,    -0.00503155061658
       9.94415975998,    -0.00515964418251
       9.94719782668,    -0.00526113433189
       9.95008399005,    -0.00534061084754
       9.95282584525,    -0.00540227582896
       9.95543060769,    -0.00544978645825
       9.95790513201,    -0.00548620824968
       9.96025593011,    -0.00551403845417
       9.96248918831,    -0.00553526734962
        9.9646107836,    -0.00555145475839
       9.96662629912,     -0.0055638076442
       9.96854103887,    -0.00557325107692
       9.97036004163,    -0.00558048919457
       9.97208809425,    -0.00558605543125
       9.97372974424,    -0.00559035270492
       9.97528931173,    -0.00559368489814
       9.97677090085,     -0.0055962811398
       9.97817841051,    -0.00559831432404
       9.97951554469,    -0.00559991511996
       9.98078582215,    -0.00560118251064
       9.98199258575,     -0.0056021916919
       9.98313901117,    -0.00560299997966
       9.98422811531,    -0.00560365122409
       9.98526276425,    -0.00560417910833
       9.98624568074,    -0.00560460961627
        9.9871794514,    -0.00560496288148
       9.98806653354,     -0.0056052545758
       9.98890926156,    -0.00560549695476
       9.98970985319,    -0.00560569964731
       9.99047041523,    -0.00560587025411
       9.99119294917,    -0.00560601480262
       9.99187935642,    -0.00560613809458
        9.9925314433,    -0.00560624397227
       9.99315092584,    -0.00560633552349
       9.99373943425,    -0.00560641523997
       9.99429851724,     -0.0056064851404
       9.99482964608,    -0.00560654686629
       9.99533421848,    -0.00560660175717
       9.99581356226,    -0.00560665090961
       9.99626893885,    -0.00560669522404
       9.99670154661,    -0.00560673544183
       9.99711252398,    -0.00560677217487
       9.99750295249,    -0.00560680592936
       9.99787385957,     -0.0056068371249
       9.99822622129,    -0.00560686610988
       9.99856096493,    -0.00560689317413
       9.99887897139,    -0.00560691855905
       9.99918107752,    -0.00560694246605
       9.99946807835,    -0.00560696506337
       9.99974072913,    -0.00560698649178
