------------------------------------------------------------
 Recombination Rate (at applied bias)
------------------------------------------------------------
Position (um), Recombination Rate (/cm3s)
       9.99711252398,    5.41485452113e+21
       9.99750295249,    5.60390864541e+21
       9.99787385957,    5.76642466675e+21
       9.99822622129,    5.90217424106e+21
       9.99856096493,    6.01166079891e+21
       9.99887897139,     6.0960060449e+21
       9.99918107752,    6.15681712598e+21
       9.99946807835,    6.19604874088e+21
       9.99974072913,    6.21587186935e+21
       9.99999974738,    6.21855615659e+21
       10.0000001659,    6.21854765319e+21
       10.0000006305,    6.21853816822e+21
       10.0000011463,     6.2185275802e+21
       10.0000017187,    6.21851575393e+21
       10.0000023541,    6.21850253615e+21
       10.0000030594,    6.21848775274e+21
       10.0000038423,    6.21847120557e+21
       10.0000047113,    6.21845266872e+21
       10.0000056759,    6.21843188398e+21
       10.0000067466,    6.21840855563e+21
       10.0000079351,    6.21838234416e+21
       10.0000092543,    6.21835285888e+21
       10.0000107186,    6.21831964906e+21
        10.000012344,    6.21828219337e+21
       10.0000141482,    6.21823988724e+21
       10.0000161508,    6.21819202768e+21
       10.0000183738,    6.21813779511e+21
       10.0000208413,    6.21807623138e+21
       10.0000235801,    6.21800621332e+21
       10.0000266203,    6.21792642079e+21
       10.0000299949,    6.21783529799e+21
       10.0000337407,    6.21773100658e+21
       10.0000378985,    6.21761136884e+21
       10.0000425137,    6.21747379855e+21
       10.0000476366,    6.21731521695e+21
       10.0000533229,    6.21713195052e+21
       10.0000596348,    6.21691960626e+21
        10.000066641,    6.21667291972e+21
       10.0000744178,     6.2163855695e+21
       10.0000830502,    6.21604995073e+21
        10.000092632,    6.21565689833e+21
       10.0001032679,    6.21519534871e+21
       10.0001150737,    6.21465192622e+21
       10.0001281782,    6.21401043734e+21
       10.0001427241,    6.21325125199e+21
       10.0001588701,    6.21235054686e+21
       10.0001767922,    6.21127938001e+21
       10.0001966857,    6.21000255937e+21
       10.0002187675,    6.20847726003e+21
       10.0002432783,    6.20665133526e+21
       10.0002704852,    6.20446125548e+21
        10.000300685,    6.20182959568e+21
       10.0003342066,    6.19866197682e+21
       10.0003714157,    6.19484334913e+21
       10.0004127178,    6.19023348572e+21
       10.0004585631,    6.18466153421e+21
       10.0005094514,    6.17791945254e+21
       10.0005659374,    6.16975413534e+21
       10.0006286369,    6.15985802214e+21
       10.0006982333,    6.14785797314e+21
       10.0007754853,    6.13330221101e+21
        10.000861235,    6.11564516896e+21
       10.0009564173,    6.09423017441e+21
       10.0010620695,    6.06827005713e+21
       10.0011793435,    6.03682603382e+21
       10.0013095176,    5.99878562871e+21
       10.0014540109,    5.95284099192e+21
       10.0016143985,     5.8974698256e+21
       10.0017924287,    5.83092226589e+21
       10.0019900422,    5.75121850482e+21
       10.0022093932,    5.65616360638e+21
       10.0024528728,    5.54338767476e+21
       10.0027231351,    5.41042086091e+21
       10.0030231263,    5.25481295321e+21
       10.0033561166,    5.07430549306e+21
       10.0037257358,    4.86705930512e+21
