,Z,N,A,mass,lifetime
193,84,102,186,4101.0,34     us 12
194,84,103,187,2830.0,4      27
195,85,106,191,3864.0,2.1   ms 0.8
196,85,106,191,3922.0,58      20
197,85,107,192,2926.0,0      40
198,86,107,193,9043.0,1.15  ms 0.27
199,86,108,194,5723.0,780     us 160
200,86,109,195,5131.0,80      50
201,86,110,196,1971.0,4.7   ms 1.1
202,86,111,197,1510.0,54     ms 6
203,86,111,197,1709.0,199      11           25.6
204,87,110,197,10250.0,2.33  ms 1.88
205,87,111,198,9570.0,15     ms 3
206,87,111,198,9580.0,0      50            1.1
207,87,112,199,6771.0,6.6   ms 2.2
208,87,112,199,6817.0,45      13
209,87,113,200,6180.0,50      60
210,87,114,201,3589.0,62.8   ms 1.9
211,87,114,201,3715.0,127      11
212,88,113,201,11937.0,20     ms 30
213,88,113,201,12200.0,263      26            6
214,87,115,202,3096.0,372     ms 12
215,87,115,202,3370.0,274      12
216,88,114,202,9075.0,4.1   ms 1.1
217,87,116,203,876.0,550     ms 10
218,87,116,203,1237.0,361       6           43
219,88,115,203,8660.0,36     ms 13
220,88,115,203,8851.0,190      50
221,87,117,204,607.0,1.75   s 0.26
222,87,117,204,658.0,50       4
223,87,117,204,934.0,326       4
224,88,116,204,6057.0,60     ms 9
225,88,117,205,5840.0,220     ms 50
226,89,116,205,14110.0,80     ms 60
227,88,118,206,3566.0,240     ms 20
228,89,117,206,13480.0,25     ms 7
229,89,117,206,13700.0,220      60
230,88,119,207,3540.0,1.38   s 0.18
231,88,119,207,4102.0,560      50
232,89,118,207,11150.0,31     ms 8
233,88,120,208,1728.0,1.110  s 0.045
234,89,119,208,10750.0,97     ms 15
235,89,119,208,11258.0,500      50
236,90,118,208,16680.0,2.4   ms 1.2
237,88,121,209,1858.0,4.71   s 0.08
238,89,120,209,8840.0,94     ms 10
239,88,122,210,443.0,4.0    s 0.1
240,89,121,210,8790.0,350     ms 40
241,90,120,210,14059.0,16.0   ms 3.6
242,88,123,211,832.0,13.2    s 1.4
243,89,122,211,7200.0,213     ms 25
244,90,121,211,13910.0,48     ms 20
245,89,123,212,7280.0,895     ms 28
246,90,122,212,12111.0,31.7   ms 1.3
247,91,121,212,21590.0,7.5   ms 2.8
248,81,132,213,1784.0,24      s 4
249,88,125,213,346.0,2.73   m 0.05
250,88,125,213,2114.0,1768       4
251,89,124,213,6155.0,738     ms 16
252,90,123,213,12120.0,144     ms 21
253,91,122,213,19660.0,7     ms 3
254,81,133,214,6470.0,11      s 2
255,88,126,214,93.0,2.437  s 0.016
256,89,125,214,6444.0,8.2    s 0.2
257,90,124,214,10695.0,87     ms 10
258,91,123,214,19490.0,17     ms 3
259,81,134,215,9910.0,10      s 4
