------------------------------------------------------------
 n - Electron Density
------------------------------------------------------------
Position (um), Carrier Density (/cm3)
       10.0000161508,   -4.04493956227e+15
       10.0000183738,   -4.04222894542e+15
       10.0000208413,   -4.03922228112e+15
       10.0000235801,   -4.03588749439e+15
       10.0000266203,   -4.03218909506e+15
       10.0000299949,   -4.02808782806e+15
       10.0000337407,   -4.02354029128e+15
       10.0000378985,   -4.01849851855e+15
       10.0000425137,   -4.01290952568e+15
       10.0000476366,   -4.00671481763e+15
       10.0000533229,   -3.99984985461e+15
       10.0000596348,   -3.99224347608e+15
        10.000066641,   -3.98381728116e+15
       10.0000744178,   -3.97448496543e+15
       10.0000830502,   -3.96415161459e+15
        10.000092632,   -3.95271295654e+15
       10.0001032679,   -3.94005457559e+15
       10.0001150737,   -3.92605109375e+15
       10.0001281782,   -3.91056532701e+15
       10.0001427241,   -3.89344742784e+15
       10.0001588701,   -3.87453402841e+15
       10.0001767922,   -3.85364740451e+15
       10.0001966857,   -3.83059468568e+15
       10.0002187675,   -3.80516714384e+15
       10.0002432783,   -3.77713960174e+15
       10.0002704852,   -3.74627001167e+15
        10.000300685,   -3.71229926706e+15
       10.0003342066,   -3.67495132239e+15
       10.0003714157,   -3.63393371205e+15
       10.0004127178,   -3.58893857554e+15
       10.0004585631,   -3.53964431407e+15
       10.0005094514,   -3.48571802304e+15
       10.0005659374,   -3.42681886337e+15
       10.0006286369,   -3.36260255261e+15
       10.0006982333,   -3.29272717114e+15
       10.0007754853,   -3.21686048758e+15
        10.000861235,   -3.13468900706e+15
       10.0009564173,   -3.04592893146e+15
       10.0010620695,   -2.95033918731e+15
       10.0011793435,   -2.84773661619e+15
       10.0013095176,    -2.7380133284e+15
       10.0014540109,   -2.62115608301e+15
       10.0016143985,   -2.49726736867e+15
       10.0017924287,   -2.36658761267e+15
       10.0019900422,   -2.22951763723e+15
       10.0022093932,   -2.08664011436e+15
       10.0024528728,    -1.9387383571e+15
       10.0027231351,   -1.78681035328e+15
       10.0030231263,   -1.63207554406e+15
       10.0033561166,   -1.47597154482e+15
       10.0037257358,  -1.320137896142e+15
        10.004136013,  -1.166384136347e+15
       10.0045914208,  -1.016640135183e+15
       10.0050969235,     -872887841590000
       10.0056580314,     -737075452312000
       10.0062808612,     -611017481149000
       10.0069722023,     -496287129081000
       10.0077395909,     -394110349053000
       10.0085913923,     -305273472742000
       10.0095368917,     -230057458784000
       10.0105863962,     -168210941429900
       10.0117513461,     -118970733758200
       10.0130444406,      -81132223686200
       10.0144797754,      -53163945894700
        10.016072997,      -33352146319600
        10.017841473,      -19954618974260
       10.0198044814,      -11340686444880
       10.0219834207,       -6097183503570
       10.0244020433,       -3088277169195
       10.0270867145,       -1467678053806
       10.0300666994,        -651909132347
       10.0333744827,      -269685216968.7
       10.0370461221,      -103601582625.1
       10.0411216419,      -36881872820.46
       10.0456454689,       -12156515493.8
       10.0506669168,      -3712119574.956
        10.056240724,     -1052492670.1224
         10.06242765,      -277868613.6607
       10.0692951379,      -68478855.92252
       10.0769180494,      -16159962.60019
       10.0853794812,      -3784269.078635
       10.0947716705,      -903712.5405943
       10.1051970006,      -229335.0745778
        10.116769117,      -65332.39377198
       10.1296141662,      -22164.70032311
       10.1438721708,      -9438.736737513
        10.159698556,      -5163.373975014
       10.1772658435,      -3529.878458897
       10.1967655326,       -2820.35794794
       10.2184101876,      -2454.644933838
       10.2424357545,      -2214.090148976
       10.2691041339,      -2014.157843972
        10.298706035,       -1824.98748122
       10.3315641452,       -1638.44799464
       10.3680366475,       -1454.05780895
       10.4085211251,       -1273.59599261
       10.4534588952,       -1099.37296797
         10.50333982,        -933.74886132
       10.5587076465,        -778.96573877
        10.620165934,        -637.02481217
       10.6883846331,        -509.56279556
       10.7641073891,        -397.73545306
       10.8481596482,        -302.12468718
       10.9414576559,         -222.6850206
       11.0450184444,        -158.74218633
       11.1599709196,        -109.05064954
       11.2875681671,    -71.9082880300002
       11.4292011119,    -45.3163602499999
       11.5864136805,    -27.1635201499998
       11.7609196318,         -15.40673053
       11.9546212376,    -8.22181269000021
       12.1696300201,    -4.10291383000003
       12.4082897686,    -1.90202051999995
       12.6732020895,   -0.813329529999919
       12.9672547657,   -0.318412139999964
       13.2936532363,   -0.113230079999994
       13.6559555387,  -0.0362771800000701
       14.0581110943,          -0.01038681
        14.504503761, -0.00264813000012509
       14.9999996211, -0.000654710000162595
       15.2317110533, -0.000311360000068817
       15.4750080571, -0.000142890000006446
