------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
       9.98422811531,    2.68113921049e-05
       9.98526276425,    2.68115827823e-05
       9.98624568074,    2.68139104086e-05
        9.9871794514,    2.68138719071e-05
       9.98806653354,    2.68111968667e-05
       9.98890926156,    2.68109718835e-05
       9.98970985319,    2.68126515638e-05
       9.99047041523,    2.68131648818e-05
       9.99119294917,    2.68119836889e-05
       9.99187935642,    2.68121488301e-05
        9.9925314433,    2.68130039146e-05
       9.99315092584,    2.68124651859e-05
       9.99373943425,    2.68119571188e-05
       9.99429851724,    2.68124581223e-05
       9.99482964608,    2.68124507081e-05
       9.99533421848,    2.68123591156e-05
       9.99581356226,    2.68124020273e-05
       9.99626893885,     2.6812258953e-05
       9.99670154661,      2.681221574e-05
       9.99711252398,    2.68122966777e-05
       9.99750295249,    2.68122833319e-05
       9.99787385957,    2.68123027096e-05
       9.99822622129,    2.68125642616e-05
       9.99856096493,    2.68123373053e-05
       9.99887897139,    2.68123447173e-05
       9.99918107752,    2.68122132452e-05
       9.99946807835,     2.6812211133e-05
       9.99974072913,     2.6812408405e-05
       9.99999974738,     2.6987545583e-05
       10.0000001659,    2.68829943753e-05
       10.0000006305,    2.66766743244e-05
       10.0000011463,    2.67452257367e-05
       10.0000017187,    2.68448015876e-05
       10.0000023541,    2.68013743786e-05
       10.0000030594,    2.68593094019e-05
       10.0000038423,    2.68228497413e-05
       10.0000047113,    2.68219618091e-05
       10.0000056759,    2.68514658852e-05
       10.0000067466,    2.68293361789e-05
       10.0000079351,    2.68088481777e-05
       10.0000092543,    2.67996139564e-05
       10.0000107186,    2.68018952406e-05
        10.000012344,    2.67696943826e-05
       10.0000141482,    2.68115298732e-05
       10.0000161508,    2.68229986347e-05
       10.0000183738,    2.67888467713e-05
       10.0000208413,    2.68255136683e-05
       10.0000235801,    2.68116969884e-05
       10.0000266203,    2.68117620186e-05
       10.0000299949,    2.68233422917e-05
       10.0000337407,    2.68083004056e-05
       10.0000378985,    2.68014263248e-05
       10.0000425137,    2.68181926459e-05
       10.0000476366,    2.68033709065e-05
       10.0000533229,    2.68200825461e-05
       10.0000596348,    2.68216017639e-05
        10.000066641,      2.681006568e-05
       10.0000744178,    2.68144150503e-05
       10.0000830502,    2.68139876349e-05
        10.000092632,     2.6814055627e-05
       10.0001032679,    2.68092905508e-05
       10.0001150737,     2.6812437425e-05
       10.0001281782,    2.68119988019e-05
       10.0001427241,    2.68101843104e-05
       10.0001588701,    2.68126612329e-05
       10.0001767922,    2.68087437366e-05
       10.0001966857,    2.68132908288e-05
       10.0002187675,    2.68132895536e-05
       10.0002432783,    2.68123892344e-05
       10.0002704852,     2.6811940281e-05
        10.000300685,    2.68117100789e-05
       10.0003342066,    2.68123573513e-05
       10.0003714157,    2.68124380892e-05
       10.0004127178,    2.68130175411e-05
       10.0004585631,    2.68125297283e-05
       10.0005094514,    2.68123271873e-05
       10.0005659374,    2.68127483409e-05
       10.0006286369,    2.68116682579e-05
       10.0006982333,    2.68120742898e-05
       10.0007754853,    2.68128084455e-05
        10.000861235,    2.68128345896e-05
       10.0009564173,    2.68119678023e-05
       10.0010620695,     2.6812510096e-05
       10.0011793435,    2.68124385099e-05
       10.0013095176,    2.68118919324e-05
       10.0014540109,    2.68124479546e-05
       10.0016143985,    2.68125412198e-05
       10.0017924287,    2.68122520763e-05
       10.0019900422,    2.68123041962e-05
       10.0022093932,    2.68122595627e-05
       10.0024528728,    2.68122468753e-05
       10.0027231351,    2.68123118156e-05
       10.0030231263,    2.68123261303e-05
       10.0033561166,    2.68123108078e-05
       10.0037257358,    2.68123245797e-05
        10.004136013,    2.68122572642e-05
       10.0045914208,    2.68122973642e-05
       10.0050969235,    2.68122800026e-05
       10.0056580314,    2.68122527563e-05
       10.0062808612,    2.68122258653e-05
       10.0069722023,     2.6812194121e-05
       10.0077395909,     2.6812156328e-05
       10.0085913923,    2.68120771175e-05
       10.0095368917,    2.68119692208e-05
       10.0105863962,    2.68117960752e-05
       10.0117513461,     2.6811508276e-05
       10.0130444406,    2.68110135046e-05
       10.0144797754,    2.68101199524e-05
        10.016072997,    2.68084269167e-05
        10.017841473,    2.68050429953e-05
       10.0198044814,     2.6797882162e-05
       10.0219834207,    2.67817845795e-05
       10.0244020433,    2.67433146839e-05
       10.0270867145,    2.66461910907e-05
       10.0300666994,     2.6393551699e-05
       10.0333744827,    2.57598811251e-05
       10.0370461221,    2.43911053149e-05
       10.0411216419,    2.20502608771e-05
       10.0456454689,    1.88311057515e-05
       10.0506669168,    1.49742132672e-05
        10.056240724,    1.06706689571e-05
         10.06242765,    6.25120652233e-06
       10.0692951379,    2.63644993426e-06
       10.0769180494,     7.2200483232e-07
       10.0853794812,    1.46847516557e-07
       10.0947716705,    2.76034802841e-08
       10.1051970006,    5.41242940159e-09
        10.116769117,    1.25935404423e-09
       10.1296141662,    4.21658527404e-10
       10.1438721708,    2.25194370401e-10
        10.159698556,    1.66564091856e-10
       10.1772658435,    1.42394990502e-10
       10.1967655326,    1.28363621941e-10
       10.2184101876,    1.17681090997e-10
       10.2424357545,    1.08118189778e-10
       10.2691041339,    9.88808218215e-11
        10.298706035,     8.9713345827e-11
       10.3315641452,     8.0582533532e-11
       10.3680366475,    7.15480379615e-11
       10.4085211251,    6.27070428956e-11
       10.4534588952,    5.41706103947e-11
         10.50333982,    4.60524092115e-11
       10.5587076465,    3.84613497563e-11
        10.620165934,    3.14950764145e-11
       10.6883846331,    2.52336901309e-11
       10.7641073891,    1.97340216243e-11
       10.8481596482,    1.50251056807e-11
       10.9414576559,    1.11055683104e-11
       11.0450184444,    7.94352454652e-12
       11.1599709196,    5.47931118679e-12
       11.2875681671,    3.63096969261e-12
       11.4292011119,     2.3019138694e-12
       11.5864136805,    1.38977186313e-12
       11.7609196318,    7.95111035305e-13
       11.9546212376,    4.28746214512e-13
       12.1696300201,    2.16636529798e-13
       12.4082897686,    1.01930462427e-13
       12.6732020895,    4.43623871529e-14
       12.9672547657,     1.7733282727e-14
       13.2936532363,    6.46250719103e-15
       13.6559555387,    2.13067549347e-15
       14.0581110943,    6.30567184204e-16
        14.504503761,    1.65695451914e-16
       14.9999996211,    3.54860764068e-17
       15.2317110533,    1.72479015424e-17
       15.4750080571,    8.40184814166e-18
       15.7304699111,    4.18793609886e-18
       15.9987048577,    2.25407476164e-18
       16.2803515518,    1.40040298879e-18
       16.5760805805,    1.03850432761e-18
       16.8865960607,    8.91408191854e-19
       17.2126373148,    8.34180550672e-19
       17.5549806317,     8.1290581302e-19
       17.9144411144,    8.05361587935e-19
       18.2918746213,    8.02814179002e-19
       18.6881798035,    8.01996688804e-19
       19.1043002448,    8.01748026642e-19
       19.5412267082,    8.01677302421e-19
       19.9999994948,    8.01662576637e-19

------------------------------------------------------------
 Jn - Electron current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
                   0,    4.79604174154e-20
      0.487971470245,    4.79749289764e-20
      0.951544366978,    4.80417997001e-20
       1.39193861887,    4.82643946909e-20
       1.81031315818,    4.89539579562e-20
       2.20776897051,    5.09769232661e-20
       2.58535199223,    5.66152640723e-20
       2.94405586287,    7.15750523535e-20
       3.28482453997,    1.09432603312e-19
       3.60855478322,     2.0098014826e-19
        3.9160985143,    4.12916251996e-19
       4.20826505883,    8.83467228336e-19
       4.48582327613,    1.88718504391e-18
       4.74950358257,    3.94762138268e-18
       4.99999987369,    8.02608703135e-18
       5.25024593471,    1.63920028276e-17
       5.48797969268,    3.23495582019e-17
       5.71382676274,    6.18049039938e-17
       5.92838147931,    1.14472681203e-16
       6.13220846005,    2.05814512527e-16
       6.32584409175,    3.59674837779e-16
       6.50979794186,    6.11728805284e-16
       6.68455409947,    1.01382387184e-15
        6.8505724492,     1.6392402829e-15
       7.00828988145,    2.58881812727e-15
       7.15812144208,    3.99780460327e-15
       7.30046142468,    6.04317231078e-15
       7.43568440815,    8.95105828246e-15
       7.56414624244,    1.30038859916e-14
       7.68618498502,     1.8546670428e-14
       7.80212179047,    2.59919793343e-14
       7.91226175565,    3.58230383156e-14
       8.01689472257,    4.85945258746e-14
       8.11629604115,    6.49307038537e-14
       8.21072729379,    8.55206622293e-14
       8.30043698381,    1.11110614043e-13
       8.38566118932,    1.42493343602e-13
       8.46662418456,    1.80495075264e-13
       8.54353903003,    2.25960178281e-13
       8.61660813323,      2.797342444e-13
       8.68602378128,    3.42646161274e-13
       8.75196864691,      4.154898518e-13
       8.81461626927,    4.99006356218e-13
       8.87413151051,    5.93866902532e-13
       8.93067098969,    7.00657546445e-13
