	l=12,5	l=25	l=50	l=100		s(I_e)	s(I:b)
0,9997	9,6	15,6	1,5				
							
l  (mm)	b  $\pm 1,29 $   (mN/A)	B   (T)	s(B)   (T)				
50	9,65	0,193	0,029				
							
B $\pm$ 0,026  (T)	I_b $\pm$ 0,05 (A)	cte (T/A)	s(cte) (T/A)				
0,193	1	0,193	0,031				
l=100							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
1,00	0,2	36,64	4,08				
1,00	0,4	37,05	8,10				
1,00	0,6	37,49	12,42				
1,00	0,8	37,91	16,54				
1,00	1,0	38,35	20,86				
1,00	1,2	38,73	24,58				
1,00	1,4	39,13	28,51				
1,00	1,6	39,53	32,43				
1,00	1,8	39,93	36,36				
1,00	2,0	40,29	39,89				
1,00	2,2	40,67	43,62				
1,00	2,4	41,1	47,83				
1,00	2,6	41,47	51,46				
1,00	2,8	41,9	55,68				
1,00	3,0	42,28	59,41				
1,00	3,2	42,64	62,94				
1,00	3,4	43,02	66,67				
1,00	3,6	43,47	71,08				
1,00	3,8	43,82	74,52				
1,00	4,0	44,17	77,95				
							
i	$x_i$	$y_i$	$x_i^2$	$y_i^2$	$x_i \cdot y_i$	$ y_i-b_x_i $	$(y_i-bx_i)^2$
1	0,2	4,08	0,04	16,65	0,82	3,42	11,68
2	0,4	8,10	0,16	65,66	3,24	6,78	45,92
3	0,6	12,42	0,36	154,24	7,45	10,43	108,78
4	0,8	16,54	0,64	273,56	13,23	13,89	192,84
5	1,0	20,86	1,00	434,98	20,86	17,54	307,65
6	1,2	24,58	1,44	604,37	29,50	20,60	424,55
7	1,4	28,51	1,96	812,70	39,91	23,87	569,55
8	1,6	32,43	2,56	1051,83	51,89	27,13	735,83
9	1,8	36,36	3,24	1321,75	65,44	30,39	923,36
10	2,0	39,89	4,00	1591,01	79,77	33,26	1105,91
11	2,2	43,62	4,84	1902,29	95,95	36,32	1319,13
12	2,4	47,83	5,76	2288,05	114,80	39,87	1590,01
13	2,6	51,46	6,76	2648,47	133,80	42,84	1835,39
14	2,8	55,68	7,84	3100,44	155,91	46,40	2152,64
15	3,0	59,41	9,00	3529,47	178,23	49,46	2446,40
16	3,2	62,94	10,24	3961,56	201,41	52,33	2738,37
17	3,4	66,67	11,56	4444,72	226,67	55,39	3068,50
18	3,6	71,08	12,96	5052,83	255,90	59,15	3498,17
19	3,8	74,52	14,44	5552,75	283,16	61,92	3833,54
20	4,0	77,95	16,00	6076,24	311,80	64,69	4184,27
$\Sigma _i$	42	0,00	114,8	44883,56	2269,76	695,65	31092,51
							
r	b  (mN/A)	s	s(b)  (mN/A)				
0,99992	19,8	40,5	3,8				
							
l  (mm)	b  $\pm 3,78 $   (mN/A)	B   (T)	s(B)   (T)				
100	19,77	0,198	0,038				
							
B $\pm$ 0,038  (T)	I_b $\pm$ 0,05 (A)	cte (T/A)	s(cte) (T/A)				
0,198	1	0,198	0,039				
							
							
							
l  (mm)	b    (mN/A)	s(b)    (mN/A)	B   (T)	s(B)   (T)			
12,5	3,316	0,092	0,2653	0,0073			
25	5,46	0,49	0,218	0,020			
50	9,6	1,5	0,193	0,029			
100	19,8	3,8	0,198	0,038			
							
l (mm)	B   (T)	s(B)   (T)	I_b $\pm$ 0,05 (A)	cte (T/A)	s(cte) (T/A)		
12,5	0,2653	0,0073	1	0,265	0,015		
25	0,218	0,020	1	0,218	0,022		
50	0,193	0,029	1	0,193	0,031		
100	0,198	0,038	1	0,198	0,039		
							
							
Ib y l constantes							
l=12,5							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
0,1	4	31,44	-0,14				
0,2	4	31,6	1,43				
0,3	4	31,75	2,90				
0,4	4	31,87	4,08				
0,5	4	31,98	5,16				
