------------------------------------------------------------
 Net Charge Density
------------------------------------------------------------
Position (um), Charge Density (C/cm3)
       10.0085913923,     0.00563327970998
       10.0095368917,     0.00562568037324
       10.0105863962,     0.00561981717198
       10.0117513461,     0.00561545999542
       10.0130444406,     0.00561235227398
       10.0144797754,     0.00561023299795
        10.016072997,     0.00560885683332
        10.017841473,     0.00560800958687
       10.0198044814,     0.00560751729587
       10.0219834207,     0.00560724861779
       10.0244020433,     0.00560711156313
       10.0270867145,     0.00560704654805
       10.0300666994,     0.00560701801209
       10.0333744827,     0.00560700648093
       10.0370461221,     0.00560700221085
       10.0411216419,     0.00560700076696
       10.0456454689,     0.00560700031876
       10.0506669168,     0.00560700017424
        10.056240724,     0.00560700004663
         10.06242765,     0.00560699955679
       10.0692951379,     0.00560699694224
       10.0769180494,     0.00560698185219
       10.0853794812,     0.00560689070422
       10.0947716705,     0.00560633080707
       10.1051970006,     0.00560296883096
        10.116769117,     0.00558428342922
       10.1296141662,     0.00549504980344
       10.1438721708,     0.00516321562098
        10.159698556,     0.00430843373699
       10.1772658435,      0.0029288253646
       10.1967655326,     0.00156502866468
       10.2184101876,    0.000675788201751
       10.2424357545,    0.000246610346271
       10.2691041339,    7.83316680985e-05
        10.298706035,    2.18995700956e-05
       10.3315641452,    5.38801186416e-06
       10.3680366475,    1.16025766055e-06
       10.4085211251,    2.17082104799e-07
       10.4534588952,    3.50170061948e-08
         10.50333982,    4.83348586654e-09
       10.5587076465,    5.66913847302e-10
        10.620165934,    5.61374378783e-11
       10.6883846331,    4.66602241782e-12
       10.7641073891,    3.23862976678e-13
       10.8481596482,    1.86867345981e-14
       10.9414576559,    8.93323682265e-16
       11.0450184444,    3.54015287238e-17
       11.1599709196,     1.5064480308e-18
       11.2875681671,                    0
       11.4292011119,                    0
       11.5864136805,                    0
       11.7609196318,                    0
       11.9546212376,                    0
       12.1696300201,                    0
       12.4082897686,                    0
       12.6732020895,                    0
       12.9672547657,                    0
       13.2936532363,                    0
       13.6559555387,                    0
       14.0581110943,                    0
        14.504503761,                    0
       14.9999996211,                    0
       15.2317110533,                    0
       15.4750080571,                    0
       15.7304699111,                    0
       15.9987048577,                    0
       16.2803515518,                    0
       16.5760805805,                    0
       16.8865960607,                    0
       17.2126373148,                    0
       17.5549806317,                    0
       17.9144411144,                    0
       18.2918746213,                    0
       18.6881798035,                    0
       19.1043002448,                    0
       19.5412267082,                    0
       19.9999994948,    1.05451362156e-17

