U1/V	IA/nA	IA2/nA
11,25	0,20	0,24
11,28	0,19	0,24
11,30	0,22	0,24
11,33	0,24	0,24
11,35	0,26	0,24
11,37	0,27	0,24
11,40	0,29	0,25
11,42	0,27	0,25
11,45	0,25	0,26
11,47	0,25	0,27
11,50	0,26	0,27
11,52	0,26	0,28
11,55	0,25	0,28
11,57	0,28	0,29
11,59	0,31	0,29
11,62	0,30	0,29
11,64	0,30	0,29
11,67	0,33	0,30
11,69	0,32	0,30
11,72	0,29	0,31
11,74	0,31	0,31
11,77	0,32	0,32
11,79	0,29	0,32
11,81	0,28	0,32
11,84	0,34	0,32
11,86	0,34	0,33
11,89	0,33	0,32
11,91	0,37	0,33
11,94	0,39	0,33
11,96	0,34	0,33
11,99	0,31	0,33
12,01	0,33	0,33
12,03	0,32	0,34
12,06	0,32	0,34
12,08	0,32	0,34
12,11	0,33	0,34
12,13	0,33	0,33
12,16	0,32	0,33
12,18	0,33	0,33
12,21	0,36	0,32
12,23	0,34	0,32
12,25	0,34	0,32
12,28	0,34	0,32
12,30	0,34	0,32
12,33	0,30	0,32
12,35	0,30	0,32
12,38	0,30	0,32
12,40	0,27	0,32
12,42	0,26	0,32
12,45	0,31	0,32
12,47	0,33	0,31
12,50	0,32	0,31
12,52	0,34	0,31
12,55	0,35	0,31
12,57	0,33	0,32
12,60	0,31	0,32
12,62	0,31	0,32
12,64	0,31	0,33
12,67	0,31	0,33
12,69	0,33	0,32
12,72	0,34	0,32
12,74	0,33	0,31
12,77	0,35	0,31
12,79	0,35	0,30
12,82	0,32	0,30
12,84	0,31	0,30
12,86	0,30	0,30
12,89	0,27	0,29
12,91	0,27	0,29
12,94	0,26	0,29
12,96	0,24	0,28
12,99	0,25	0,27
13,01	0,28	0,27
13,04	0,26	0,26
13,06	0,26	0,26
13,08	0,28	0,25
13,11	0,27	0,25
13,13	0,24	0,24
13,16	0,25	0,24
13,18	0,24	0,24
13,21	0,24	0,24
13,23	0,23	0,23
13,26	0,22	0,23
13,28	0,20	0,23
13,30	0,20	0,22
13,33	0,19	0,22
13,35	0,21	0,22
13,38	0,22	0,22
13,40	0,21	0,21
13,43	0,24	0,22
13,45	0,24	0,22
13,47	0,21	0,21
13,50	0,19	0,22
13,52	0,21	0,22
13,55	0,22	0,22
13,57	0,20	0,21
13,60	0,21	0,21
13,62	0,25	0,21
13,65	0,23	0,21
13,67	0,20	0,20
13,69	0,22	0,20
13,72	0,22	0,20
13,74	0,17	0,20
13,77	0,19	0,20
13,79	0,20	0,20
13,82	0,18	0,20
13,84	0,16	0,19
13,87	0,20	0,19
13,89	0,19	0,18
13,91	0,17	0,18
13,94	0,19	0,17
13,96	0,21	0,17
13,99	0,19	0,17
14,01	0,16	0,16
14,04	0,17	0,16
14,06	0,15	0,16
14,09	0,14	0,16
14,11	0,12	0,16
14,13	0,14	0,16
14,16	0,14	0,15
14,18	0,13	0,15
14,21	0,13	0,15
14,23	0,17	0,15
14,26	0,16	0,14
14,28	0,14	0,14
14,31	0,15	0,15
14,33	0,17	0,15
14,35	0,14	0,15
14,38	0,13	0,16
14,40	0,15	0,16
14,43	0,15	0,16
14,45	0,13	0,16
14,48	0,17	0,16
14,50	0,20	0,16
14,52	0,19	0,16
14,55	0,17	0,16
14,57	0,19	0,16
14,60	0,16	0,17
14,62	0,14	0,17
14,65	0,14	0,17
14,67	0,17	0,18
14,70	0,16	0,18
14,72	0,17	0,18
14,74	0,17	0,18
14,77	0,18	0,18
14,79	0,18	0,18
14,82	0,18	0,18
14,84	0,19	0,18
14,87	0,21	0,18
14,89	0,20	0,19
14,92	0,19	0,19
14,94	0,21	0,19
14,96	0,17	0,20
14,99	0,15	0,20
15,01	0,17	0,20
15,04	0,20	0,21
15,06	0,20	0,21
15,09	0,22	0,21
15,11	0,24	0,22
15,14	0,24	0,22
15,16	0,23	0,23
15,18	0,23	0,24
15,21	0,23	0,25
15,23	0,24	0,26
15,26	0,24	0,27
15,28	0,26	0,28
15,31	0,27	0,29
15,33	0,31	0,29
15,36	0,32	0,30
15,38	0,35	0,31
15,40	0,35	0,32
15,43	0,35	0,33
15,45	0,32	0,35
15,48	0,34	0,36
15,50	0,34	0,37
15,53	0,34	0,39
15,55	0,36	0,40
15,57	0,42	0,41
15,60	0,43	0,42
15,62	0,44	0,42
15,65	0,48	0,43
15,67	0,48	0,44
15,70	0,46	0,45
15,72	0,47	0,46
15,75	0,49	0,48
15,77	0,48	0,49
15,79	0,49	0,50
15,82	0,49	0,51
15,84	0,50	0,52
15,87	0,49	0,53
15,89	0,52	0,53
15,92	0,54	0,54
15,94	0,57	0,55
15,97	0,57	0,56
15,99	0,60	0,57
16,01	0,61	0,58
16,04	0,59	0,59
16,06	0,56	0,60
16,09	0,59	0,61
16,11	0,60	0,62
16,14	0,60	0,63
16,16	0,63	0,64
16,19	0,70	0,64
16,21	0,69	0,65
16,23	0,67	0,65
16,26	0,68	0,66
16,28	0,69	0,67
16,31	0,65	0,68
16,33	0,67	0,69
16,36	0,70	0,69
16,38	0,69	0,70
16,41	0,67	0,70
16,43	0,71	0,70
16,45	0,71	0,70
16,48	0,71	0,71
16,50	0,73	0,71
16,53	0,76	0,71
16,55	0,75	0,71
16,58	0,73	0,71
16,60	0,72	0,71
16,63	0,72	0,72
16,65	0,70	0,72
16,67	0,68	0,71
16,70	0,70	0,72
16,72	0,72	0,71
16,75	0,71	0,71
16,77	0,70	0,70
16,80	0,71	0,70
16,82	0,72	0,69
16,84	0,70	0,69
16,87	0,70	0,69
16,89	0,72	0,69
16,92	0,69	0,68
16,94	0,65	0,68
16,97	0,65	0,67
16,99	0,66	0,67
17,02	0,63	0,66
17,04	0,65	0,65
17,06	0,67	0,65
17,09	0,68	0,64
17,11	0,64	0,64
17,14	0,64	0,63
17,16	0,63	0,63
17,19	0,61	0,63
17,21	0,60	0,62
17,24	0,59	0,62
17,26	0,59	0,62
17,28	0,62	0,61
17,31	0,60	0,60
17,33	0,61	0,59
17,36	0,62	0,59
17,38	0,60	0,58
17,41	0,58	0,57
17,43	0,60	0,56
17,46	0,58	0,56
17,48	0,54	0,55
17,50	0,55	0,54
17,53	0,53	0,53
17,55	0,49	0,52
17,58	0,48	0,51
17,60	0,50	0,50
17,63	0,49	0,49
17,65	0,48	0,48
17,68	0,49	0,47
17,70	0,49	0,46
17,72	0,46	0,45
17,75	0,45	0,44
17,77	0,42	0,43
17,80	0,41	0,42
17,82	0,38	0,41
17,85	0,38	0,41
17,87	0,38	0,40
17,89	0,39	0,39
17,92	0,38	0,37
17,94	0,38	0,37
17,97	0,38	0,36
17,99	0,36	0,36
18,02	0,33	0,35
18,04	0,34	0,35
18,07	0,33	0,34
18,09	0,30	0,34
18,11	0,30	0,33
18,14	0,35	0,33
18,16	0,34	0,32
18,19	0,32	0,31
18,21	0,35	0,30
18,24	0,34	0,30
18,26	0,29	0,29
18,29	0,28	0,29
18,31	0,30	0,29
18,33	0,25	0,28
18,36	0,24	0,28
18,38	0,26	0,27
18,41	0,26	0,27
18,43	0,24	0,26
18,46	0,25	0,25
18,48	0,26	0,25
18,51	0,25	0,24
18,53	0,24	0,24
18,55	0,24	0,24
18,58	0,25	0,24
18,60	0,23	0,23
18,63	0,22	0,23
18,65	0,23	0,23
18,68	0,23	0,22
18,70	0,22	0,22
18,73	0,21	0,21
18,75	0,23	0,21
18,77	0,23	0,20
18,80	0,20	0,20
18,82	0,18	0,19
18,85	0,19	0,19
18,87	0,16	0,19
18,90	0,15	0,19
18,92	0,18	0,19
18,94	0,17	0,19
18,97	0,15	0,19
18,99	0,16	0,19
19,02	0,18	0,18
19,04	0,17	0,18
19,07	0,20	0,18
19,09	0,23	0,18
19,12	0,24	0,19
19,14	0,22	0,19
19,16	0,20	0,19
19,19	0,17	0,20
19,21	0,17	0,20
19,24	0,15	0,21
19,26	0,17	0,21
19,29	0,19	0,21
19,31	0,23	0,21
19,34	0,22	0,21
19,36	0,23	0,22
19,38	0,26	0,22
19,41	0,24	0,23
19,43	0,23	0,23
19,46	0,25	0,24
19,48	0,26	0,25
19,51	0,23	0,26
19,53	0,24	0,26
19,56	0,27	0,27
19,58	0,25	0,27
19,60	0,25	0,28
19,63	0,29	0,28
19,65	0,31	0,29
19,68	0,29	0,29
19,70	0,31	0,30
19,73	0,33	0,32
19,75	0,32	0,33
19,78	0,31	0,34
19,80	0,31	0,35
19,82	0,34	0,37
19,85	0,35	0,38
19,87	0,36	0,39
19,90	0,39	0,40
19,92	0,46	0,41
19,95	0,45	0,42
19,97	0,46	0,44
19,99	0,49	0,45
20,02	0,50	0,47
20,04	0,46	0,49
20,07	0,48	0,50
20,09	0,50	0,52
20,12	0,49	0,53
20,14	0,50	0,54
20,17	0,57	0,56
20,19	0,59	0,57
20,21	0,59	0,59
20,24	0,62	0,60
20,26	0,64	0,62
20,29	0,62	0,64
20,31	0,63	0,65
20,34	0,66	0,67
20,36	0,69	0,70
20,39	0,70	0,71
20,41	0,73	0,73
20,43	0,75	0,75
20,46	0,76	0,76
20,48	0,78	0,78
20,51	0,81	0,80
20,53	0,83	0,81
20,56	0,85	0,83
20,58	0,86	0,85
20,61	0,89	0,87
20,63	0,90	0,88
20,65	0,88	0,90
20,68	0,89	0,92
20,70	0,91	0,93
20,73	0,93	0,94
20,75	0,94	0,95
20,78	1,01	0,97
20,80	1,02	0,98
20,83	1,03	0,99
20,85	1,02	1,00
20,87	1,04	1,02
20,90	1,01	1,03
20,92	1,01	1,04
20,95	1,03	1,06
20,97	1,05	1,07
21,00	1,05	1,08
21,02	1,09	1,08
21,05	1,11	1,09
21,07	1,13	1,09
21,09	1,14	1,10
21,12	1,15	1,11
21,14	1,15	1,12
21,17	1,14	1,13
21,19	1,12	1,13
21,22	1,11	1,14
21,24	1,13	1,14
21,26	1,15	1,15
21,29	1,14	1,15
21,31	1,16	1,14
21,34	1,19	1,14
21,36	1,18	1,14
21,39	1,14	1,13
21,41	1,16	1,13
21,44	1,15	1,13
21,46	1,13	1,13
21,48	1,14	1,12
21,51	1,12	1,12
21,53	1,09	1,11
21,56	1,06	1,10
21,58	1,08	1,09
21,61	1,08	1,09
21,63	1,08	1,07
21,66	1,09	1,06
21,68	1,11	1,06
21,70	1,09	1,05
21,73	1,05	1,04
21,75	1,03	1,03
21,78	1,02	1,02
21,80	0,99	1,01
21,83	0,97	1,00
21,85	0,96	0,99
21,88	1,00	0,98
21,90	0,97	0,97
21,92	0,97	0,95
21,95	0,98	0,94
21,97	0,95	0,93
22,00	0,91	0,91
22,02	0,90	0,90
22,05	0,91	0,89
22,07	0,86	0,88
22,10	0,85	0,87
22,12	0,86	0,86
22,14	0,83	0,84
22,17	0,80	0,82
22,19	0,82	0,81
22,22	0,83	0,79
22,24	0,79	0,78
22,27	0,78	0,76
22,29	0,77	0,75
22,31	0,74	0,74
22,34	0,71	0,72
22,36	0,69	0,71
22,39	0,68	0,70
22,41	0,67	0,68
22,44	0,65	0,66
22,46	0,65	0,65
22,49	0,65	0,63
22,51	0,63	0,61
22,53	0,61	0,60
22,56	0,60	0,59
22,58	0,59	0,58
22,61	0,54	0,57
22,63	0,53	0,56
22,66	0,53	0,55
22,68	0,49	0,53
22,71	0,47	0,52
22,73	0,52	0,51
22,75	0,51	0,50
22,78	0,50	0,48
22,80	0,49	0,47
22,83	0,50	0,46
22,85	0,47	0,45
22,88	0,43	0,45
22,90	0,43	0,44
22,93	0,42	0,43
22,95	0,40	0,42
22,97	0,40	0,41
23,00	0,40	0,40
23,02	0,38	0,39
23,05	0,38	0,38
23,07	0,38	0,37
23,10	0,36	0,36
23,12	0,35	0,35
23,15	0,34	0,34
23,17	0,32	0,34
23,19	0,32	0,33
23,22	0,30	0,32
23,24	0,29	0,32
23,27	0,30	0,31
23,29	0,31	0,30
23,32	0,30	0,29
23,34	0,29	0,28
23,36	0,30	0,27
23,39	0,29	0,27
23,41	0,26	0,26
23,44	0,26	0,26
23,46	0,24	0,25
23,49	0,22	0,25
23,51	0,22	0,25
23,54	0,22	0,24
23,56	0,20	0,24
23,58	0,21	0,24
23,61	0,21	0,23
23,63	0,22	0,23
23,66	0,23	0,23
23,68	0,24	0,23
23,71	0,26	0,23
23,73	0,26	0,23
23,76	0,24	0,24
23,78	0,22	0,24
23,80	0,23	0,24
23,83	0,23	0,25
23,85	0,22	0,25
23,88	0,23	0,25
23,90	0,29	0,26
23,93	0,27	0,26
23,95	0,25	0,26
23,98	0,27	0,26
24,00	0,28	0,26
24,02	0,25	0,27
24,05	0,26	0,28
24,07	0,29	0,28
24,10	0,27	0,29
24,12	0,26	0,29
24,15	0,28	0,30
24,17	0,30	0,30
24,20	0,28	0,30
24,22	0,32	0,31
24,24	0,34	0,32
24,27	0,35	0,32
24,29	0,34	0,33
24,32	0,34	0,34
24,34	0,34	0,36
24,37	0,34	0,37
24,39	0,32	0,38
24,42	0,35	0,39
24,44	0,39	0,41
24,46	0,39	0,42
24,49	0,41	0,43
24,51	0,48	0,44
24,54	0,47	0,45
24,56	0,48	0,47
24,59	0,51	0,49
24,61	0,54	0,51
24,63	0,50	0,53
24,66	0,51	0,55
24,68	0,55	0,57
24,71	0,56	0,58
24,73	0,55	0,60
24,76	0,62	0,62
24,78	0,66	0,64
24,81	0,66	0,66
24,83	0,68	0,68
24,85	0,72	0,70
24,88	0,72	0,72
24,90	0,72	0,75
24,93	0,75	0,77
24,95	0,78	0,79
24,98	0,79	0,82
25,00	0,83	0,84
25,03	0,88	0,86
25,05	0,91	0,88
25,07	0,92	0,90
25,10	0,95	0,92
25,12	0,95	0,95
25,15	0,96	0,97
25,17	0,99	1,00
25,20	1,02	1,03
25,22	1,05	1,05
25,25	1,04	1,08
25,27	1,06	1,10
25,29	1,09	1,12
25,32	1,13	1,14
25,34	1,14	1,16
25,37	1,23	1,18
25,39	1,28	1,20
25,42	1,30	1,23
25,44	1,29	1,25
25,47	1,31	1,27
25,49	1,28	1,30
25,51	1,28	1,32
25,54	1,30	1,34
25,56	1,33	1,37
25,59	1,36	1,38
25,61	1,42	1,40
25,64	1,43	1,41
25,66	1,45	1,43
25,68	1,48	1,44
25,71	1,49	1,46
25,73	1,49	1,48
25,76	1,52	1,50
25,78	1,53	1,51
25,81	1,52	1,53
25,83	1,53	1,54
25,86	1,57	1,55
25,88	1,56	1,56
25,90	1,56	1,56
25,93	1,60	1,57
25,95	1,61	1,57
25,98	1,57	1,58
26,00	1,60	1,58
26,03	1,62	1,59
26,05	1,60	1,59
26,08	1,60	1,59
26,10	1,60	1,59
26,12	1,60	1,59
26,15	1,58	1,59
26,17	1,59	1,59
26,20	1,60	1,59
26,22	1,60	1,58
26,25	1,58	1,57
26,27	1,59	1,57
26,30	1,60	1,57
26,32	1,58	1,56
26,34	1,55	1,56
26,37	1,56	1,56
26,39	1,54	1,55
26,42	1,49	1,54
26,44	1,50	1,53
26,47	1,55	1,52
26,49	1,54	1,51
26,52	1,52	1,50
26,54	1,53	1,49
26,56	1,53	1,48
26,59	1,47	1,47
26,61	1,45	1,46
26,64	1,44	1,45
26,66	1,42	1,43
26,69	1,39	1,42
26,71	1,41	1,40
26,73	1,40	1,39
26,76	1,37	1,37
26,78	1,36	1,35
26,81	1,36	1,34
26,83	1,33	1,32
26,86	1,31	1,30
26,88	1,30	1,29
26,91	1,29	1,27
26,93	1,26	1,25
26,95	1,22	1,23
26,98	1,21	1,22
27,00	1,20	1,20
27,03	1,18	1,18
27,05	1,13	1,16
27,08	1,14	1,13
27,10	1,13	1,11
27,13	1,10	1,09
27,15	1,07	1,07
27,17	1,08	1,05
27,20	1,03	1,03
27,22	0,99	1,01
27,25	0,99	0,99
27,27	0,95	0,97
27,30	0,91	0,95
27,32	0,91	0,93
27,35	0,90	0,91
27,37	0,89	0,89
27,39	0,86	0,87
27,42	0,87	0,86
27,44	0,86	0,84
27,47	0,83	0,83
27,49	0,80	0,81
27,52	0,78	0,80
27,54	0,77	0,78
27,57	0,76	0,76
27,59	0,74	0,75
27,61	0,74	0,73
27,64	0,76	0,72
27,66	0,71	0,70
27,69	0,67	0,68
27,71	0,67	0,67
27,74	0,65	0,65
27,76	0,62	0,64
27,78	0,62	0,63
27,81	0,61	0,61
27,83	0,59	0,60
27,86	0,56	0,58
27,88	0,56	0,56
27,91	0,55	0,55
27,93	0,54	0,53
27,96	0,53	0,52
27,98	0,53	0,51
