------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       9.94096179503,       -30907.7746706
       9.94415975998,        -32606.849544
       9.94719782668,       -34226.2733431
       9.95008399005,       -35768.1209289
       9.95282584525,       -37235.0436819
       9.95543060769,       -38630.0033418
       9.95790513201,       -39956.0986052
       9.96025593011,       -41216.4552056
       9.96248918831,       -42414.1581816
        9.9646107836,       -43552.2115634
       9.96662629912,       -44633.5155705
       9.96854103887,       -45660.8548335
       9.97036004163,       -46636.8934627
       9.97208809425,        -47564.174309
       9.97372974424,       -48445.1207457
       9.97528931173,        -49282.039923
       9.97677090085,        -50077.126845
       9.97817841051,       -50832.4688654
       9.97951554469,       -51550.0503527
       9.98078582215,       -52231.7573745
       9.98199258575,       -52879.3823086
       9.98313901117,       -53494.6283274
       9.98422811531,       -54079.1137254
       9.98526276425,       -54634.3760752
       9.98624568074,       -55161.8762032
        9.9871794514,       -55663.0019872
       9.98806653354,        -56139.071976
       9.98890926156,       -56591.3388369
       9.98970985319,       -57020.9926362
       9.99047041523,       -57429.1639608
       9.99119294917,       -57816.9268849
       9.99187935642,       -58185.3017916
        9.9925314433,       -58535.2580537
       9.99315092584,       -58867.7165823
       9.99373943425,       -59183.5522479
       9.99429851724,        -59483.596181
       9.99482964608,       -59768.6379586
       9.99533421848,       -60039.4276809
       9.99581356226,       -60296.6779449
       9.99626893885,       -60541.0657186
       9.99670154661,        -60773.234123
       9.99711252398,       -60993.7941235
       9.99750295249,       -61203.3261379
       9.99787385957,       -61402.3815635
       9.99822622129,       -61591.4842283
       9.99856096493,       -61771.1317689
       9.99887897139,       -61941.7969405
       9.99918107752,       -62103.9288605
       9.99946807835,       -62257.9541909
       9.99974072913,       -62404.2782604
       9.99999974738,       -62473.7821956
       10.0000001659,         -62473.66988
       10.0000006305,       -62473.4205395
       10.0000011463,       -62473.1437715
       10.0000017187,        -62472.836559
       10.0000023541,       -62472.4955532
       10.0000030594,       -62472.1170367
       10.0000038423,       -62471.6968834
       10.0000047113,       -62471.2305133
       10.0000056759,       -62470.7128424
       10.0000067466,       -62470.1382277
       10.0000079351,       -62469.5004054
       10.0000092543,       -62468.7924227
       10.0000107186,       -62468.0065618
        10.000012344,       -62467.1342563
       10.0000141482,       -62466.1659972
       10.0000161508,       -62465.0912295
       10.0000183738,       -62463.8982374
       10.0000208413,       -62462.5740162
       10.0000235801,       -62461.1041307
       10.0000266203,       -62459.4725577
       10.0000299949,       -62457.6615117
       10.0000337407,       -62455.6512507
       10.0000378985,       -62453.4198609
       10.0000425137,       -62450.9430183
       10.0000476366,        -62448.193723
       10.0000533229,       -62445.1420052
       10.0000596348,       -62441.7545985
        10.000066641,        -62437.994577
       10.0000744178,       -62433.8209531
       10.0000830502,       -62429.1882307
        10.000092632,       -62424.0459087
       10.0001032679,       -62418.3379314
       10.0001150737,       -62412.0020766
       10.0001281782,       -62404.9692777
       10.0001427241,        -62397.162871
       10.0001588701,       -62388.4977596
       10.0001767922,       -62378.8794859
       10.0001966857,       -62368.2032022
       10.0002187675,       -62356.3525273
       10.0002432783,       -62343.1982782
       10.0002704852,       -62328.5970617
        10.000300685,       -62312.3897115
       10.0003342066,       -62294.3995528
       10.0003714157,       -62274.4304768
       10.0004127178,       -62252.2648026
       10.0004585631,       -62227.6609043
       10.0005094514,       -62200.3505774
       10.0005659374,       -62170.0361148
       10.0006286369,       -62136.3870616
       10.0006982333,       -62099.0366128
       10.0007754853,       -62057.5776151
        10.000861235,       -62011.5581282
       10.0009564173,       -61960.4764984
       10.0010620695,       -61903.7758901
       10.0011793435,       -61840.8382159
       10.0013095176,       -61770.9773987
       10.0014540109,       -61693.4318932
       10.0016143985,        -61607.356384
       10.0017924287,       -61511.8125712
       10.0019900422,        -61405.758942
       10.0022093932,       -61288.0394172
       10.0024528728,       -61157.3707495
       10.0027231351,       -61012.3285343
       10.0030231263,       -60851.3316831
       10.0033561166,        -60672.625188
       10.0037257358,       -60474.2609911
        10.004136013,       -60254.0767492
       10.0045914208,       -60009.6722625
       10.0050969235,       -59738.3833113
       10.0056580314,       -59437.2526149
       10.0062808612,        -59102.997596
       10.0069722023,       -58731.9746003
       10.0077395909,       -58320.1391818
       10.0085913923,       -57863.0020212
       10.0095368917,       -57355.5799997
       10.0105863962,       -56792.3418961
       10.0117513461,       -56167.1481241
       10.0130444406,       -55473.1838588
       10.0144797754,       -54702.8848484
        10.016072997,       -53847.8551368
        10.017841473,       -52898.7758812
       10.0198044814,       -51845.3044301
       10.0219834207,       -50675.9629012
       10.0244020433,       -49378.0157837
       10.0270867145,       -47937.3368771
       10.0300666994,       -46338.2678834
       10.0333744827,       -44563.4759195
       10.0370461221,       -42593.8293655
       10.0411216419,       -40408.3411955
       10.0456454689,       -37984.3009848
       10.0506669168,       -35297.8869391
        10.056240724,       -32325.9296286
         10.06242765,        -29050.261224
       10.0692951379,       -25467.2947544
       10.0769180494,       -21606.3849491
       10.0853794812,       -17558.0214022
       10.0947716705,       -13501.4390442
