------------------------------------------------------------
 Efn - quasi Fermi level for electrons
------------------------------------------------------------
Position (um) (#0), Energy (eV) (#0)
       9.99999974738,   -3.73047859374e-06
       10.0000208413,   -3.72124015319e-06
       10.0000425137,   -3.71178125876e-06
        10.000066641,   -3.70127089615e-06
        10.000092632,   -3.68997217699e-06
       10.0001150737,   -3.68023607908e-06
       10.0001427241,   -3.66826532285e-06
       10.0001767922,   -3.65355429693e-06
       10.0002187675,   -3.63548684622e-06
       10.0002432783,   -3.62496631706e-06
       10.0002704852,   -3.61331418175e-06
        10.000300685,   -3.60041195944e-06
       10.0003342066,   -3.58612954292e-06
       10.0003714157,   -3.57032425174e-06
       10.0004127178,   -3.55283985886e-06
       10.0004585631,   -3.53350560908e-06
       10.0005094514,   -3.51213524871e-06
       10.0005659374,    -3.4885261001e-06
       10.0006286369,   -3.46245821799e-06
       10.0006982333,   -3.43369368342e-06
