------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       10.0002704852,    -90318.5716437802
        10.000300685,    -90302.3569278371
       10.0003342066,      -90284.35868871
       10.0003714157,    -90264.3805767013
       10.0004127178,    -90242.2048729093
       10.0004585631,    -90217.5898583441
       10.0005094514,    -90190.2671830509
       10.0005659374,    -90159.9390204538
       10.0006286369,    -90126.2747384942
       10.0006982333,    -90088.9074096807
       10.0007754853,    -90047.4296768452
        10.000861235,    -90001.3894041358
       10.0009564173,    -89950.2846300203
       10.0010620695,     -89893.558412898
       10.0011793435,    -89830.5922807521
       10.0013095176,    -89760.6998955469
       10.0014540109,      -89683.11932166
       10.0016143985,    -89597.0048647802
       10.0017924287,    -89501.4178369715
       10.0019900422,     -89395.316247917
       10.0022093932,    -89277.5434760123
       10.0024528728,    -89146.8157045672
       10.0027231351,    -89001.7079083304
       10.0030231263,    -88840.6382292722
       10.0033561166,    -88661.8508490088
       10.0037257358,    -88463.3968746329
        10.004136013,    -88243.1130232115
       10.0045914208,     -87998.597890146
       10.0050969235,    -87727.1860698932
       10.0056580314,    -87425.9190014935
       10.0062808612,    -87091.5125389249
       10.0069722023,    -86720.3213536618
       10.0077395909,    -86308.2991492953
       10.0085913923,    -85850.9544734556
       10.0095368917,    -85343.3019659575
       10.0105863962,    -84779.8075935067
       10.0117513461,    -84154.3288910934
       10.0130444406,    -83460.0474718181
       10.0144797754,    -82689.3951474286
        10.016072997,    -81833.9710823898
        10.017841473,    -80884.4503573098
       10.0198044814,    -79830.4823309964
       10.0219834207,    -78660.5778346735
       10.0244020433,     -77361.983856104
       10.0270867145,    -75920.5444786843
       10.0300666994,    -74320.5468406198
       10.0333744827,    -72544.5494296177
       10.0370461221,    -70573.1923372304
       10.0411216419,    -68384.9859292441
       10.0456454689,     -65956.076804567
       10.0506669168,    -63259.9877137602
        10.056240724,    -60267.3288063191
         10.06242765,    -56945.4774147652
       10.0692951379,    -53258.2223486636
       10.0769180494,     -49165.369262338
       10.0853794812,    -44622.3023177243
       10.0947716705,    -39579.4980081293
       10.1051970006,    -33981.9852368275
        10.116769117,    -27768.7460665893
       10.1296141662,    -20872.0505897727
       10.1438721708,    -13216.7186169489
        10.159698556,    -4719.30007664351
       10.1772658435,                    0
       10.1967655326,                    0
       10.2184101876,                    0
       10.2424357545,                    0
       10.2691041339,                    0
        10.298706035,                    0
       10.3315641452,                    0
       10.3680366475,                    0
       10.4085211251,                    0
       10.4534588952,                    0
         10.50333982,                    0
       10.5587076465,                    0
        10.620165934,                    0
       10.6883846331,                    0
       10.7641073891,                    0
       10.8481596482,                    0
       10.9414576559,                    0
       11.0450184444,                    0
       11.1599709196,                    0
       11.2875681671,                    0
       11.4292011119,                    0
       11.5864136805,                    0
       11.7609196318,                    0
       11.9546212376,                    0
       12.1696300201,                    0
       12.4082897686,                    0
       12.6732020895,                    0
       12.9672547657,                    0
       13.2936532363,                    0
       13.6559555387,                    0
       14.0581110943,                    0
        14.504503761,                    0
       14.9999996211,                    0
       15.2317110533,                    0
       15.4750080571,                    0
       15.7304699111,                    0
       15.9987048577,                    0
       16.2803515518,                    0
       16.5760805805,                    0
       16.8865960607,                    0
       17.2126373148,                    0
       17.5549806317,                    0
       17.9144411144,                    0
       18.2918746213,                    0
       18.6881798035,                    0
       19.1043002448,                    0
       19.5412267082,                    0
       19.9999994948,                    0

